author,article_ids,article_count
*Hamedi Adnan,[22],1
ABDURRAUF HASSAN,[181],1
ABULHALIM BIN MOHAMAD,[181],1
AI Hexu,[34],1
Abdallah Ali Althory,[143],1
Abdelhafid Hammimi,[54],1
Abdelilah El-Alami,[60],1
Abdelouahed Bouberria,"[49, 54, 60]",3
AbdulJabbar Ahmed Al-Amlah,[107],1
AbdulRahman Zabin Al-Mutairi,[94],1
Abdulhamid Abdurahman Al-Abduljabbar,[87],1
Abdulkarim Mohammad Alseadoon,[78],1
Abdullah A. K. Dandan,[191],1
Abdullah Salem Alzou’bi,[108],1
Abdullah Zabin Al-Mutairi,[94],1
Abdusalam Mohammed Ghaleb Al-Ghrafy,[90],1
Abedelrahman Alhajhamad,[73],1
Abrar Hashim Alattas,[84],1
Abu Haneefa Omer AlShareef Ali Omer,[184],1
Abubakr Eltigani Elhag,[36],1
Adel Ahmed Abdullah Al-Mekhlafy,[90],1
Afra Hashim Abdelateef,[104],1
Afrah Mohsen Al-salmi,[186],1
Ahmad Abdalkareem Al- Molqi,[164],1
Ahmad Fadhel Alkout,[132],1
Ahmad Younso,[119],1
Ahmed  Bani Khalid,[197],1
Ahmed Ali Al-Abed Al-Azeez,[111],1
Ahmed Chebli,[38],1
Ahmed Farouk Ali,[63],1
Ahmed Mohammad Albzour,[166],1
Ahyaf Abdel Azeze Burini,[165],1
Aisha Saleh Babssal,[137],1
Alaa Taref Garibeh,[163],1
Ali Alhousain Aleid,[32],1
Ali Gharamah Alshehri,[106],1
Ali Mohammed Qader,[62],1
Ali Muhammed Asa'ad,[124],1
Alia Ali Saeed Alketbi,[40],1
Alwah Hazam Muslah Aloreany,[134],1
Amal Abdelaziz Mohamed Ghazy,[69],1
Amal Mohamed Toheri,[97],1
Amal Othman Al- Atta,[182],1
Amani Saeed Alghamdi,[93],1
Amera Eid Alsaadi,[35],1
Amsha Zayed Almutairi,[93],1
Anwar Ibrahim Al-Afnan,[94],1
Aseel Halabi,[73],1
Ashraf Abualrob,[73],1
Ashwaq Abdulhakeem Alsabaan,[42],1
Assadik Ahmad Adam,"[52, 112]",2
Attia Al-Huseyin,[32],1
Awad Mufleh Alkhazam,[170],1
Awadh Ahmed Hasan,[140],1
Awwad Ahmad Aldandan,[162],1
Badereldin Ali Hamed Mohammed,[79],1
Bandar Abdullah Al-Saud,[87],1
Bandar Abdullah Al-Zoghaibi,[94],1
Basheer Saleh Abdallah,[74],1
Basheer Thabit Mohammed,[127],1
Bassam Khaled Al- Shawi,[121],1
Brooj Nasser Abdullah Alsaqer,[75],1
Cherif rym,[173],1
Dalal Abdullah Al-Harthy Al-Shareef,[142],1
Deeaa Hussin Mouheb Aldeen,[185],1
Dema Ahmad Al-shakh,[119],1
Dhaifallah Aleimat,[205],1
Diya Abu Shomer,[73],1
Doaa Hassan Toweirqie,[41],1
Doaa Zayed,[76],1
