title,title_en,authors,source,path,download_link,article_url
دور التحول الرقمي في تحسين كفاءة إدارة المراكز الطبية مراكز الرعاية الصحية الأولية في شمال سوريا نموذجاً,The Role of Digital Transformation in Improving Medical Center Management Efficiency Primary Healthcare Centers in Northern Syria as a Model,"[""Hussam Ahmad Hlaak"", ""Ali Alhousain Aleid"", ""Attia Al-Huseyin""]",ajsrp,./ajsrp/9159-8054.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/9159/8054,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/9159
المصالح الأمريكية في الشرق الأوسط وأدوات حمايتها,U.S. Interests in the Middle East and the Tools for Their Protection,"[""Tarek Jarjoura Chahine""]",ajsrp,./ajsrp/9160-8051.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/9160/8051,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/9160
نموذج جديد للتعاون المؤسسي بين بلدان الجنوب الاستراتيجيات العربية في منطقة جنوب المحيط الهادئ وأثرها على الحوكمة العالمية,A New Paradigm of Institutional SouthSouth Cooperation Arab Strategies in the South Pacific and Their Impact on Global Governance,"[""AI Hexu""]",ajsrp,./ajsrp/9161-8053.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/9161/8053,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/9161
تقييم مستويات إنجاز الطلاب إطار لتعزيز النتائج الأكاديمية,Evaluation of Student Achievement Levels A Framework for Advancing Academic Outcomes,"[""Amera Eid Alsaadi""]",ajsrp,./ajsrp/9162-8055.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/9162/8055,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/9162
الآثار الاقتصادية المتوقعة لانضمام السودان إلى منظمة التجارة العالمية حالة القطاع المصرفي 1970-2008,The Expected Economic Impacts of Sudan's Accession to the WTO The Case of the Banking Sector 1970-2008,"[""Abubakr Eltigani Elhag""]",ajsrp,./ajsrp/9163-8052.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/9163/8052,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/9163
صورة الهيئة العامة للترفيه لدى عينة من طلاب وطالبات جامعة الملك عبد العزيز,The image of the General Entertainment Authority among a sample of male and female students at King Abdulaziz University,"[""Rahaf Hmeed Alotaibi"", ""Fatima kobibi Bendenia""]",ajsrp,./ajsrp/8945-7864.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8945/7864,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8945
الحداثة الجمالية ومعضلاتها الفن بين المطالبة بالاستقلال ورهان اختراق الفضاء العام,Aesthetic Modernity and Its Dilemmas Art between the Demand for Independence and the bet of Penetrating Public Space,"[""Ahmed Chebli""]",ajsrp,./ajsrp/8946-8144.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8946/8144,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8946
العوائق الاجتماعية والثقافية أمام تمكين المرأة اليمنية في العمل العام (دراسة ميدانية تحليلية),Social and Cultural Barriers to the Empowerment of Yemeni Women in Public Employment (An Analytical Field Study),"[""Fatima Ali Abdullah Abbas""]",ajsrp,./ajsrp/8947-7867.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8947/7867,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8947
البعد التداولي لللفظ في مقامات بديع الزمان الحم  المقامات الحرزية أنموذجا,The pragmatic dimension of pronunciation in The Maqamat of Badi Al-Zaman Al-Hamdhani - the Maqamat Al-Harziyya as an example,"[""Alia Ali Saeed Alketbi"", ""Muhammad Hilmi Abdullah Jaafar""]",ajsrp,./ajsrp/8948-7868.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8948/7868,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8948
دور وسائل الإعلام في نشر الوعي الرقمي بين أفراد المجتمع في المملكة العربية السعودية,The role of the media in spreading digital awareness among members of society in the Kingdom of Saudi Arabia,"[""Faris Omar Batawi"", ""Doaa Hassan Toweirqie""]",ajsrp,./ajsrp/8949-7865.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8949/7865,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8949
دور تقنيات المعلومات الحديثة في تعزيز البحث العلمي في الجامعات السعودية التحديات والمتطلبات والفرص المستقبلية,"The Role of Modern Information Technologies in Promoting Scientific Research in Saudi Universities Challenges, Requirements, and Future Opportunities","[""Ashwaq Abdulhakeem Alsabaan""]",ajsrp,./ajsrp/8706-7654.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8706/7654,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8706
أثر تقنيات الواقع الافتراضي في الإعلام الرقمي على تجربة الجمهور دراسة تطبيقية على الأحداث العقارية في المملكة العربية السعودية خلال عام 2025,The Impact of Virtual Reality Technologies in Digital Media on Audience Experience  An Applied Study on Real Estate Events in The Kingdom of Saudi Arabia During the Year 2025,"[""Sara Saad Al-Dawsari"", ""Sadiq Ali Mubarak Al-Shuwaikhat""]",ajsrp,./ajsrp/8708-7655.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8708/7655,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8708
تداعيات تعدد الزوجات على الواقع الديمغرافي في المجتمع الفلسطيني وموقف القوانين المدنية الإسرائيلية منه,The Implications of Polygamy on the Demographic Reality in Palestinian Society and the Stance of Israeli Civil Laws Towards It,"[""Samy Garad Abu Freach""]",ajsrp,./ajsrp/8710-7656.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8710/7656,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8710
الترجمة مظهر حضاري وإنساني ثقافي، ومهارات فنية للتقارب بين الشعوب والأمم,"Translation is a cultural and human civilizational manifestation, and technical skills  for the rapprochement of peoples and nations","[""Jehad Faiz Al-Islam""]",ajsrp,./ajsrp/8714-7658.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/8714/7658,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/8714
