article_id,abstract_ar,source,path,keywords,author_ids
1,هدفت هذه الدراسه الا الكشف عن درحه اكتساب طلبه كليه التربيه بجامعه السلطان قابوس لمهارات البحث الاحرائي وصعوبات تنفيذه من خلال تطبيقهم لمشروع التخرج استخدم للجمع البيانات اداتان: الاولا معايير التقييم لمشروع التخرج المعده من قبل كليه التربيه بجامعه السلطان قابوس وتكونت العينه لحذه الاداه من UG Wh Kee التربيه بيجامعه السلطان قابوس والاداه الثانيه كانت عباره مقابلات cre Ved وقد اظهرت نتائج الاستبانه of اكتساب طلبه als التربيه لمهارات البحث الاحرائي جاءت جميعها بمستوا مرتفع عدا مهاره توثيق,AJP,finalpdfs/AJP_1337_1.pdf,['كليه التربيه البحث الاجرائي جامعه السلطان قابوس الصعوبات مشروع'],['AUTH_00001']
2,هدفت هذه الدراسه التعرف الا days ممارسه القياده الاستباقيه وعلاقتها باداره مخاطر البيئه المدرسيه لدا مديري مدارس الرمثا. ولتحقيق هدف الدراسه تم استخدام المنهج الوصفي المسحي الارتباطي واختيار عينه عشوائيه بسيطه تكونت من )180( معلما ومعلمه. تم تطوير استبانه ASS من محورين الاول لقياس درجه القياده الاستباقيه تضمنت CTY) فقره اما امحور الثاني فكان لقياس درجه ممارسه اداره مخاطر البيئه المدرسيه وتضمنت )18( فقره وذلك بعد ان تم التحقق من صدقها وثباتما. وتوصلت الدراسه الا ان درجه ممارسه القياده الاستباقيه من وجهه نظر المعلمين مرتفعه وبينت نتائج الدراسه الا ان درجه ممارسه اداره مخاطر البيئه المدرسيه من وجهه نظر المعلمين جاءت مرتفعه. وتوصلت نتائج الدراسه الا وحود علاقه ارتباطيه ايجابيه طرديه بين OVE القياده الاستباقيه ومحالات اداره ble البيئه المدرسيه لدا مديري مدارس الرمثا. ال,AJP,finalpdfs/AJP_1338_2.pdf,['القياده الاستباقيه اداره bE البيئه المدرسيه مدراء المدارس لواء الرمثا'],"['AUTH_00002', 'AUTH_00003']"
3,هدفت الدراسه التعرف الا درحه ممارسه معلمي اللغه العربيه المهارات التذوق ALAN اثناء تدريس النصوص الشعريه من وجهه نظرهم. تكونت عينه الدراسه من CAV) معلما ومعلمه يعملون في المدارس التابعه ely ماركا بمحافظه عمان. واعتمدت الدراسه علا المنهج الوصفي المسحيء وت تطوير اداه استبانه تضمنت (VT) فقره موزعه علا ثلاثه SVE رئيسيه: dali) الاساسيه Sold الجمالي الممارساث الفعليه LA Spi) والانشطه الداعمه للتذوق الجمالي). واظهرت Saye OF fila ممارسه معلمئ aa العربيه لمهارات التذوق ALA اثناء تدريس النصوص الشعريه كانت متوسطه. كما كشفت النتائج عن وحود فروق ذات دلاله احصائيه في مستوا ممارسه هذه المهارات لصالح المعلمات في حين لم تظهر نتائج الدراسه فروقا Old دلاله احصائيه تعزا للمؤهل العلمي. كما لوحظ وحود SBE تعزا الا سنوات الخبره التدريسيه حيث ele النتائج لصالح المعلمين ذوي الخبره من ٠١١ سنوات فاكثر). Gy ضوء نتائج هذه الدراسه توصي الباحثه بتطبيق برامج تدريبيه تعزز مهارات التذوق Ld لدا معلمي ومعلمات اللغه العربيه واشراك الطلبه في تصميم الانشطه الداعمه للتذوق JLab لتحفيز الابداع quant وجعلهم شركاء في العمليه التعليميه. 1 ال,AJP,finalpdfs/AJP_1339_3.pdf,['مهارات التذوق SLA النصوص الشعريه معلمي اللغه العربيه'],['AUTH_00004']
4,"هدف البحث الا تحليل محتوا منهاج الرياضيات للصف الثامن من مرحله التعليم الاساسي في سوريه للعام الدراسي )7١575-5٠785( في ضوء معايير التمثيل الرياضي. اتبعت الباحثه المنهج الوصفي حيث استخدمت قائمه ler التمثيل الرياضي الثلاثه الخاصه بالصفوف )4-71( ler by المجلس الوطني لمعلمي الرياضيات (National Council of Teachers of Mathematics [NCTM], 2000) بعد ترجمتها الا اللغه العربيه وقامت الباحثه بكتابه مؤشرات هذه المعايير وبناء اداه تحليل محتوا وتحققت من خصائصها السيكومتريه همل التحليل جميع دروس كتابي الحبر والهندسه والذي تضمن ENG فقره في كتاب الحبر و34 في كتاب المندسه وتوصل البحث الا عده نتائج اهمها: - توفر معيار تكوين واستخدام التمثيلات لتنظيم وتسجيل وايصال الافكار الرياضيه بنسبه مئويه 50 و وبالترتيب الاول في كتاب cnt يليه معيار احتيار وتطبيق وترجمه التمثيلات الرياضيه لحل المسائل بنسبه مئويه 79.7900 . - توفر معيار اختيار وتطبيق و ترجمه التمثيلات الرياضيه لحل المسائل في كتاب الحندسه بالمرتبه الاولا و بنسبه مئويه 54.38 يليه معيار تكوين واستخدام التمثيلات لتنظيم و تسجيل وايصال الافكار الرياضيه بنسبه مئويه 38.559 . - ومن جهه احرا her cle استخدام التمثيلات لنمذحه وتفسير الظواهر الطبيعيه والاحتماعيه والرياضيه في المرتبه الاخيره وبنسبه مئويه ١7.709 في OLS الحبر و96/ ١.١ في كتاب الحندسه. ال",AJP,finalpdfs/AJP_1340_4.pdf,['تحليل cst محتوا منهاج الرياضيات ples التمثيل الرياضي'],['AUTH_00005']
5,هدف البحث الا تعرف اثر تصميم تعليمي وفق التعلم الخبراق في التحصيل وكفاءه التعلم والذكاء الابداعي في ماده الرياضيات عند طلبه المرحله الاعداديه. ولتحقيق هدف البحث وضعت الباحثه الفرضيات الصفريه الاتيه: -١ لا يوحد فرق ذا دلاله احصائيه عند مستوا الدلاله )4.0( بين متوسطي درحات الطلاب الذين درسوا وفق التعلم الخبراتي (امجموعه التجريبيه) وبين الطلاب الذين درسوا نفس الماده بالطريقه الاعتياديه (المجموعه الضابطه) في الاحتبار التحصيلي. ؟- لا tay فرق ذا دلاله احصائيه عند مستوا الدلاله (0.05) بين متوسطي درحات الطلاب الذين درسوا وفق التعلم الخبراتي (امجموعه التجريبيه) وبين الطلاب الذين درسوا نفس الماده بالطريقه الاعتياديه de gach الضابطه) في مقياس كفاءه التعلم. 1- لا يوحد فرق ذا دلاله احصائيه عند مستوا الدلاله )10 .6( بين متوسطي درحات الطلاب الذين درسوا وفق التعلم hdl (المجموعه التجريبيه) وبين الطلاب الذين درسوا الماده نفسها بالطريقه الاعتياديه (المجموعه الضابطه) في sles الذكاء الابداعي. اعتمدت الباحثه منهج البحث التجريبي وتكونت عينه البحث من (VY) طالباء تم اختيارهم بصوره عشوائيه وزعوا علا مجموعتينء المجموعه التجريبيه (TV) طالباء والضابطه(75) طالباء في ثانويه المتفوقين الاهليه في المديريه العامه لتربيه بغداد/الكرخ الاولا وقد تم اجراء BIS بين المجموعتين بعدد من المتغيرات هي (العمر درحات نصف السنه اختبار المعلومات السابقه الذكاء درجات الصف (ES) ال,AJP,finalpdfs/AJP_1341_5.pdf,"['تصميم تعليميء التعلم الخبراق التحصيلء كفاءه التعلم', 'الذكاء الابداعي']",['AUTH_00006']
6,هدفت الدراسه الحاليه تعيف مستوا معرفه معلمي الدراسات الاجتماعيه للتعليم ما بعد الاساسي في سلطنه عمان بالاوبئه علاوه علا كشن اثر متغير النوع والتخصصء وسنوات الخبره والمحافظه ومعدل متابعه اخبار كوفيد9١ ومصادر الحصول علا المعلومات الصحيه خلال الجائحه ومدا الالتزام بالاحراءات الوقائيه وظفت الدراسه المنهج الوصفي من خلال اعداد اختبار معارف تكون من سته gle هي: مفهوم الاوبئه تاريخ الاوبئه اسباب انتشار الاوبئه UY المترتبه عن Leal الاوبئه طرق علاج الاويئه دور سلطنه OLE في مكافحه CAL ang) علا عينه مكونه من )3٠١( من معلمي الدراسات الاجتماعيه في سلطنه عمان. وكشفت النتائج of مستوا معرفه المعلمين بالاويئه منخفضاء كما OG عدم وجود فروق ذات دلاله احصائيه في مستوا Ball بالاوبئه تعزا pak التتحخصص ومعدل متابعه اخبار كوفيد9 ١ ومصادر الحصول علا المعلومات الصحيه خلال الجائحه ومدا الالتزام بالاجراءات الوقائيه ووجود فروق ف بقيه متغيرات الدراسه. ال,AJP,finalpdfs/AJP_1342_6.pdf,['الاوبئه ماده الدراسات الاجتماعيه معلمي الدراسات الاجتماعيه'],"['AUTH_00008', 'AUTH_00007']"
25,هدفت الدراسه التعرف الا المشكلات السلوكيه Gal طلبه ذوي صعويات التعلم المحدده في المدارس الاساسيه داخل القدس من Ages نظر المعلمين والتعرف الا دور المتغيرات الجنس وسنوات الخبره والمؤهل العلمي في استجابات المعلمين نحو المشكلات السلوكيه لدا طلبه ذوي صعوبات التعلم المحدده في المدارس الاساسيه داخل القدس وقد تكون مجتمع الدراسه من جميع معلمي المدارس الاساسيه في مدينه القدس والبالغ عددهم (1761) وتكونت عينه الدراسه من (119) معلما ومعلمه اختيرت بالطريقه الغرضيه الهادفه ولتحقيق اهداف الدراسه استخدمت الباحثه المنهج الوصفي بصورته التحليليه واستخدام الاستبانه كاداه للدراسه ويعد تحليل النتائج باستخدام برنامج الرزم الاحصائيه للعلوم الاجتماعيه (SPSS) اظهرت النتائج ان المتوسطات الحسابيه والانحرافات المعياريه للمشكلات السلوكيه لدا طلبه ذوي صعويات التعلم المحدده في المدارس الاساسيه داخل القدس من Ages نظر المعلمين تراوحت ما بين (3.61-2.88) اذ كانت النسبه المئوبه للاستجابه لها تتراوح ما cas ) 57.6- 72.2( فقد اتا المجال الاول السلوك المتعلق بالنشاط الزائد في الترتيب الاول ويمتوسط حسابي مقداره (3.61) ونسبه مئويه ) 72.2( وهي درجه كبيره Lele في المرتبه الثانيه المتعلق بالسلوك العدواني cla المجال الرابع وبمتوسط حسابي مقداره )3.35( ونسبه مئويه ) 67-0( وقد اتا المجال الثاني السلوك الاجتماعي المنحرف في المرتبه الثالثه ويمتوسط حسابي (3.14) وبنسبه مئويه ) 62.8( ٠ في Gus جاء المجال الثالث والمتعلق بالعادات الغريبه واللزمات العصبيه في المرتبه الاخيره وبمتوسط حسابي )2-88( ونسبه مئويه ) 57.6( Lele الدرجه الكليه فقد حصلت علا متوسط حسابي )3.26( ونسبه مئويه (7665.2) وهي درجه متوسطه aly تظهر فروق داله احصائيا في استجابات المعلمين نحو المشكلات السلوكيه لدا طلبه ذوي صعوبات التعلم المحدده في المدارس الاساسيه داخل القدس تعزا لمتغيري الجنس والمؤهل العلمي Ley ظهرت فروق في متغير سنوات الخدمه ولصالح اكثر من )10( سنوات واوصت الدراسه بتفعيل دور الارشاد التربوي في المدارس الاساسيه في مدينه القدس في تنفيذ انشطه ارشاديه من شانها تقليل حده النشاط الزائد لدا الطلبه من ذوي صعويات التعلم المحدده؛ وعقد دورات تدريبيه للمعلمين الجدد حول مهارات التعامل مع المشكلات الصفيه ومنها المشكلات السلوكيه لذوي صعويات التعلم المحدده. ال,AJSP,finalpdfs/المشكلات السلوكية لدى طلبة ذوي صعوبات التعلم المحددة في المدارس الاساسية داخل القدس من وجهة نظر المعلمين_5.pdf,"['المشكلات السلوكيه', 'صعويات التعلم المحدده المدارس الاساسيه']",['AUTH_00009']
26,الافداف: يهدف البحث الا التاكيد علا اهميه العنايه بالبيان العربي بشكل عام والمجاز بشكل خاص عند تاليف مناهج تعليم العربيه للناطقين بغيرها وذلك لما للمجاز من اهميه تفوق قيمته البيانيه والجماليه ولذلك يركز البحث علا القيمه الثقافيه والفكريه للمجاز cally دوره في تحقيق عمليات الخطاب. كما تؤكد الدراسه علا اهميه LE) منهجيه متسلسله تعتمد علا التدرج والتنوع والتراكم عند تاليف مناهج البيان لدارسي العربيه من غير الناطقين بها. المنهجيه: لتحقيق اهداف البحث جاءت الدراسه في قسمين: الاول نظري يتحدث عن مفهوم المجاز ومعناه عند اللغوبين والبلاغيين العرب القدماء والمحدثين. والثاني el المنهج التحليلي في جمع البيانات المتعلقه باهميه تدريس المجاز لمتعلمي اللغه العربيه من غير الناطقين بهاء والاسباب التي تدفعنا الا ضروره تاليف منهاج قائم علا البيان العربي بطريقه ممنهجه ومن ثم يقوم البحث بتحليل تلك البيانات والاجتهاد فيها. النتائج: خلص البحث الا Gi للمجاز Allens Led ووظيفيه وفكريه في اللغه وخلص كذلك الا اهميه المجاز البياني كاداه تعليميه في تحسين مهارات الفهم والانتاج اللغوي لدا متعلمي اللغه العربيه من غير الناطقين بها. الخلاصه: كشفت الدراسه الجوانب البلاغيه والاجتماعيه والسياسيه والنفسيه للمجاز في لغه الخطاب اليومي وكذلك ابرزت قدره المجاز علا التوسع وابداع تراكيب وتعبيرات جديده بشكل يوما. كما اوصت الدراسه علا ضروره اعتماد منهجيه متسلسله متكامله لتدريس المجاز. ال,AJSP,finalpdfs/أهميّة تعليم المجاز لمتعلمي العربية من غير الناطقين بها_6.pdf,['غير الناطقين بالعربيه البيان العربي ال'],['AUTH_00010']
27,ان موضوع حمايه الطفل اثار اهتمام العديد من الدراسات في كافه التخصصات والمجالات؛ وذلك GY الطفل ليس لديه القدره علا حمايه نفسه ودفع الخطر عنهاء كما انه اكثر عرضه للاعتداءات الماسه بحقوقه وحرياته ونظرا للاهميه البالغه لموضوع حمايه حقوق الطفل نسلط الضوء في هذه الدراسه علا جريمه الاستغلال الاقتصادي التي ترتكب ضد الطفلء لذلك تم استخدام المنهج التحليلي لدراسه موضوع البحث في النظام السعودي وتهدف الدراسه الا بيان مفهوم جريمه الاستغلال الاقتصاديء والتعرف علا الصور التي نص عليها المنظم السعوديء؛ قسمت الدراسه الا مبحثين تناول المبحث الاول مفهوم الطفل والاستغلال الاقتصادي واسباب واثار هذه الجريمه علا الطفل والمجتمع ومن ثم خصص المبحث الثاني لدراسه صور الاستغلال الاقتصادي من حيث مغهومها واركانهاء اذ تناولت الدراسه ثلاث صورء وهي؛ استغلال الطفل في التسول واستغلال الطفل في العملء واستغلال الطفل في الاعلانات ومواقع الانترنت. وقد توصلت الدراسه الا عده نتائج من اهمها: ان المنظم السعودي نص علا صور الاستغلال الاقتصادي واعتبر كل صوره من الصور جريمه علا حده وتطرق لها في نظام خاص بها بشكل اكثر تفصيلاء انتهت الدراسه الا عده توصياتء من ابرزها: ان علا المنظم النص علا تعريف للاستغلال الاقتصادي لتحديد مفهومه واساسهء وتحديد ما يدخل تحت هذا المفهوم من صور لتوفير الحمايه اللازمه للطفل من جريمه الاستغلال الاقتصادي. ال,AJSP,finalpdfs/جريمة الإستغلال الإقتصادي للطفل في النظام السعودي_7.pdf,"['الطفل', 'استغلال اقتصاديء التسول', 'عمل الاطفال مواقع الانترنت']",['AUTH_00011']
28,هدفت هذه الدراسه الا التعرف علا ظاهره العنف ضد المسنين واتجاهات المجتمع السعودي نحوها كدراسه وصفيه مطبقه علا عينه من طالبات جامعه الملك عبد العزيز واعتمدت الدراسه علا منهج المسح الاجتماعي للعينه وتم جمع البيانات الاوليه للدراسه من خلال اعداد استبانه مكونه من (32) عباره تم توزيعها علا افراد عينه الدراسه البالغ عددهم (206) مفرده وقد تم اختبار فرضيات الدراسه من خلال تفريغ بيانات GLY) وتحليلها بواسطه برنامج الحزم الاحصائيه (SPSS) وتوصلت نتائج الدراسه الا ان اهم الاسباب التي تؤدي الا العنف ضد المسنين هي الاسباب الاجتماعيه؛ كما ان العنف اللفظي هو الشكل الاكثر انتشارا وابرز اثار العنف ضد المسنين هي الاثار النفسيه. وفي ضوء نتائج الدراسه قدمت الباحثتان عددا من التوصياتء منها: توعيه المكلفين برعايه المسنين بمراقبتهم بصوره دائمه وعدم تركهم بمفردهم مع الاشخاص الاخرين وضروره الاهتمام بالتنشئه الاجتماعيه الصحيحه لافراد المجتمع في جانب تعاملهم مع المسنين وتحسين الموارد الماديه للقائمين علا رعايه المسنين ال,AJSP,finalpdfs/ظاهرة العنف ضد المسنين وإتجاهات المجتمع السعودي نحوها_8.pdf,"['العنف', 'المسنين اتجاهاتء المجتمع السعودي']",['AUTH_00012']
