article_id,source,path,author_ids,combined_text,text_for_tfidf
1421,ARPD,finalpdfs/179.pdf,['AUTH_00112'],"هدفت الدراسه الحاليه الا فحص الاداء التفاضلي لفقرات ومموهات اختبار للتفكير الناقد علا المستوا الجامعي وفقا لمتغير جنس الطالب. تكون الاختبار المستهدف بالدراسه من )49( فقره من نوع الاختيار من متعددء لكل منها اربعه بدائل وتغطي فقراته مهارات التفكير الناقد المتمثله في Jalal) والتفسيرء والتقويم؛ والشرح., والاستدلالء والتبرير الاحصائي والاحتمالي. والتعرف الا الافتراضات المنصوص وغير المنصوص عليهاء والتركيز. ولتحقيق هدف الدراسه, تم تحليل استجابات عينه مكونه من (930) طالبا وطالبه تم اختيارهم وفق اسلوب العينه العشوائيه العنقوديه من جامعتي اليرموك والبلقاء التطبيقيه. وتم استخدام طريقه نسبه الارجحيه لمانتل-هانزل للكشف عن الاداء التفاضلي للفقرات والمموهات. وقد اشارت النتائج الا وجود )8( فقرات ذات اداء تفاضلي منها )6( فقرات لصالح الذكور. وكان حجم الاداء التفاضلي صغيرا في (4) فقرات ومتوسطا في (3) فقرات وكبيرا في فقره واحده. كما اشارت النتائج ان هناك (11) مموها ذات اداء تفاضلي منها (7) مموهات لصالح الذكورء وكان حجم الاداء التفاضلي af في مموهين ومتوسطا في (9) مموهات. (ال الاداء التفاضلي للفقرات. الاداء التفاضلي للمموهات. اختبار","هدف دراسه حاليه حص اداء تفاضل فقر مموه ختبار تفكير ناقد مستو جامع فق متغير جنس طالب. كو اختبار مستهدف دراسه )49( قر وع اختيار متعددء ربع دائل غط قر مهار تفكير ناقد متمثله Jalal) تفسيرء تقويم؛ شرح., والاستدلالء تبرير احصائ والاحتمالي. تعرف افتراض منصوص منصوص عليهاء تركيز. حقيق هدف دراسه, تم حليل استجاب مكو (930) طالب طالب تم ختيار فق سلوب عشوائيه عنقوديه جامع يرموك بلقاء التطبيقيه. تم استخدام طريق سب ارجحيه لمانتل-هانزل كشف اداء تفاضل فقر مموهات. اشار نتائج جود )8( قر داء فاضل )6( قر صالح ذكور. حجم اداء تفاضل صغير (4) قر متوسط (3) قر بيرا قر احده. اشار نتائج ان (11) مم داء فاضل (7) مموه صالح ذكورء حجم اداء تفاضل af مموه متوسط (9) مموهات. (ال اداء تفاضل فقرات. اداء تفاضل مموهات. ختبار"
1104,ARPD,finalpdfs/163.pdf,"['AUTH_00122', 'AUTH_00055']","فه والعمل مع الفريق وتعزيز الثقافه التنظيميه وتمكين الافراد والثقه والاحترام المتبادل بين الافراد التي تعزز مكان القائد وتميزه -(Hensly,1998) يرا الباحثان ان تطور المعرفه وكثافه المعلومات وسرعه انتشارها وفعاليتها تساهم بشكل فعال في تعزيز وتطور الاداره المعرفيه لرؤساء الاقسام في الجامعات الذين يعتبرون ضباط ارتباط بالنسبه delat وبالتالي تمكنهم من تجويد القرارات الاداريه التي تخدم المؤسسسه وتحافظ علا ديمومتها بالشكل الملائم. ومن هنا Sele الدراسه الحاليه للتعرف الا درجه مساهمه اداره المعرفه في تجويد القرارات الاداريه لدا رؤساء الاقسام الاكاديميين في الجامعات تعد اداره المعرفه من pal العوامل الاساسيه التي تعمل علا تحقيق وزياده مؤشرات اقتصاد المعرفه والاسهام في رفع معدلات الابتكار. وتساعد علا تحقيق التنميه البشريه وتطوير قاعده المعارف للمؤسسات التعليميه. ويعتبر التعليم الجامعي من pal الادوات الهامه في تعزيز الاستثمار payroll علا اعتبار انه من pal وظائفه الاساسيه التي تسهم في بناء اقتصاد معرفه قوي وابتكار وايجاد المعرفه ونشرها من خلال القيام بالبحوث العلميه. واعداد الكوادر المؤهله والمدربه اداره المعرفه الفرارات الاداريه. الجامعات الاردنيه. رؤساء","فه عمل فريق عزيز ثقافه تنظيميه مك افراد ثقه احترام متبادل افراد عزز مك قائد ميز -(Hensly,1998) را باحث ان طور معرفه ثاف معلوم سرع نتشار فعال سا شكل عال عزيز طور اداره معرفيه رؤساء اقسام جامع عتبر ضباط رتباط نسبه delat تال مك جويد قرار اداريه خدم مؤسسسه حافظ ديموم شكل ملائم. Sele دراسه حاليه تعرف درج مساهم دار معرفه جويد قرار اداريه دا رؤساء اقسام اكاديمي جامع عد دار معرفه pal عوامل اساسيه عمل حقيق زياد مؤشر قتصاد معرفه اسهام رفع معدل ابتكار. ساعد حقيق تنميه بشريه طوير قاعد معارف مؤسس التعليميه. عتبر تعليم جامع pal ادو هامه عزيز استثمار payroll عتبار نه pal ظائف اساسيه سهم ناء قتصاد معرف قو بتكار يجاد معرفه شر قيام بحوث علميه. عداد كوادر مؤهله مدربه دار معرفه فرار اداريه. جامع اردنيه. رؤساء"
896,ARPD,finalpdfs/234.pdf,['AUTH_00049'],"هدفت الدراسه الحاليه الا الكشف عن اثر برنامج ارشاد جمعي في خفض مستوا القلق وتحسين الكفاءه الوالديه لدا عينه من امهات الاطفال ذوي المشكلات AS obit واللواتي لجان للحصول علا المساعده المتخصصه من مركز التوعيه والارشاد الاسري في منطقه الزرقاء الجديده في الاردن. وقد تم اختيار عينه قصديه تالفت من (32) Lal بناء علا درجاتهن علا مقياسي القلق والكفاءه الوالديه. وتم توزيعهن عشوائيا الا مجموعتين: المجموعه التجريبيه (ن 16( والمجموعه الضابطه (ن 16(. واشارت نتائج الدراسه الا وجود فروق Uy احصائيا عند مستوا (0.05). بين متوسطات درجات المجموعه التجريبيه والمجموعه الضابطه علا مقياسي الدراسه في القياس البعدي لصالح المجموعه التجريبيه. حيث انخفض مستوا القلق وتحسنت الكفاءه الوالديه بدرجه اعلا وداله احصائيا لدا افراد المجموعه التجريبيه بالمقارنه مع افراد المجموعه الضابطه. كما اشارت نتائج المقارنه البعديه والتتبعيه لدا افراد المجموعه التجريبيه علا كل من مقياسي الدراسه الا وجود فروق داله ايجابا علا مقياس القلق. في حين ارتفعت علا مقياس الكفاءه الوالديه, وذلك في الاختبار التتبعي. (ال برنامج ارشاد جمعي القلق الكفاءه الوالديه امهات","هدف دراسه حاليه كشف ثر رنامج رشاد جمع خفض مستو قلق حس كفاءه والديه دا امه اطفال مشكل AS obit جا حصول مساعده متخصصه مركز توعيه ارشاد اسر منطق زرقاء جديده اردن. تم ختيار قصد تالف (32) Lal ناء درج مقياس قلق كفاءه والديه. تم وزيع عشوائي مجموعتين: مجموعه تجريبيه (ن 16( مجموعه ضابطه (ن 16(. اشار تائج دراسه جود روق Uy حصائي مستو (0.05). متوسط درج مجموعه تجريبيه مجموعه ضابطه مقياس دراسه قياس صالح مجموعه التجريبيه. نخفض مستو قلق تحسن كفاءه والديه درج دال حصائي دا فراد مجموعه تجريبيه مقارنه فراد مجموعه ضابطه. اشار تائج مقارنه بعديه تتبعيه دا فراد مجموعه تجريبيه مقياس دراسه جود روق دال يجاب مقياس قلق. ارتفع مقياس كفاءه والديه, اختبار تتبعي. (ال رنامج رشاد جمع قلق كفاءه والديه امه"
1609,ARPD,finalpdfs/76.pdf,['AUTH_00165'],"هدف البحث الا التعرف علا اهم الاحتياجات التربويه للمسنينء والتعرف علا بعض النظريات المجتمعيه المفسره cad) واستخدم البحث المنبج الوصفي لتحقيق اهدافه. ومن ثم التوصل الا مجموعه من الاحتياجات التربويه ذات الارتباط الشديد بالمسنين. كان من اهمها: الاحتياجات الاجتماعيه لتكوين علاقات اجتماعيه سويه مع الافراد من اجل ان يعيش متوافقا مع محيطه بقيمه ونظمه ومؤسساته. والاحتياجات النفسيه وخاصه من قبل المحيطين به من الابناء والاحفاد. فالمسن في حاجه الا الشعور بالاحساس بالنجاح وانه مازال قويا وقادرا علا انجاز الاعمالء والاحتياجات الصحيه سواء من قبل اسرهم او مؤسسات الرعايه الاجتماعيه, والاحتياجات الاقتصاديه من خلال وضع نظم كفيله باشتراك المسنين في عمليات التنميه والاستفاده بخبراتهم في مجالات تخصصاتهم مع امكانيه bole تدريهم علا الاعمال التي تناسب امكانياتهم وقدراتهم الجسميه والعقليه. كذلك الاحتياجات الترويحيه عن طريق الاسهام في بعض الوان النشاط المحبب الهم والذا Go tar فيه عن مشاعرهم وييرزون فيه مواههم. والاحتياجات الثقافيه والمعلوماتيه بان تتاح لهم فرصه للاسهام في مسار التنميه والانتاج ما داموا قادرين علي العطاء واخيرا الاحتياجات الدينيه من خلال اعداد البرامج الدينيه او الفقبيه الضروريه والمهمه بالنسبه للمسنين. وختاما اوصا البحث بمجموعه من التوصيات والمقترحات التي تسهم في تلبيه تلك الاحتياجات وتوفيرها للمسنين. ال الاحتياجات التربويه. US السنء النظريات المجتمعيه","هدف بحث تعرف احتياج تربويه مسنينء تعرف نظر مجتمعيه مفسره cad) ستخدم بحث منبج وصف حقيق اهدافه. توصل مجموع احتياج تربويه ارتباط شديد مسنين. اهمها: احتياج الاجتماعيه كو علاق جتماع افراد جل ان عيش متوافق محيط قيم ظم ومؤسساته. احتياج نفسيه خاص محيط ابناء احفاد. مسن حاج شعور احساس نجاح نه قوي قادر نجاز اعمالء احتياج صحيه سواء سر او مؤسس رعايه الاجتماعيه, احتياج الاقتصاديه ضع ظم فيل اشترا مسن عمل تنميه استفاده خبر مجال تخصص مكان bole در اعمال ناسب امكاني قدر جسميه عقليه. احتياج ترويحيه طريق اسهام وان نشاط محبب Go tar مشاعر يرز مواههم. احتياج ثقافيه والمعلوماتيه ان تاح رص اسهام مسار تنميه انتاج دام قادر عطاء خير احتياج دينيه عداد برامج دينيه او فقبيه ضروريه مهمه نسبه مسنين. ختام وص بحث مجموع توص مقترح سهم لب احتياج وفير مسنين. ال احتياج تربويه. US سنء نظر مجتمعيه"
443,ARPD,finalpdfs/36.pdf,['AUTH_00200'],"في سياسات القبول. تضمنت: توفير التعليم بجوده وكفاءه عاليه بمرحله التعليم الاسامسي بمصر لجميع ابناء المجتمع. وتوفير الرعايه الصحيه والاجتماعيه ipod وتوفير الوجبات المدرسيه المجانيه. والزي المدرمي لتلاميذ الاسر الفقهره. Lol عن متطلبات تحقيق مبدا تكافؤ الفرص التعليميه في تحقيق المساواه بين الجنسين بمرحله التعليم gle بمصرء فتضمنت: نشر الوعي باهميه المساواه بين الجنسين. والوقوف علا المشكلات AN تقف عقبه امام تحقيق المساواه بين الجنسين؛ وايجاد الحلول لهاء وتوفير الوعي بين الفتيات واسرهن باهميه التعليمء وكيفيه التغلب علا المشكلات التي قد تواجيهن في سبيل الحصول علا هذا التعليم, وتوفير برامج دعم مادي مشروطه بتعليم الفتيات في الاسر بالمناطق ALS) والفقيره. ال سياسه القبولء المساواه بين الجنسين. تكافؤ الفرص التعليميه","سياس قبول. تضمنت: وفير تعليم جود فاء عال مرحل تعليم اسامس مصر ابناء مجتمع. وفير رعايه صحيه والاجتماعيه ipod وفير وجب مدرسيه مجانيه. زي مدرم تلاميذ اسر فقهره. Lol متطلب حقيق مبد كافؤ فرص تعليميه حقيق مساواه جنس مرحل تعليم gle مصرء تضمنت: شر وع اهم مساواه جنسين. وقوف مشكل AN قف عقب مام حقيق مساواه جنسين؛ يجاد حلول هاء وفير وع فت سر اهم تعليمء يف تغلب مشكل واج سبيل حصول تعليم, وفير رامج دعم ماد مشروط تعليم فت اسر مناطق ALS) فقيره. ال سياس قبولء مساواه جنسين. كافؤ فرص تعليميه"
112,ajsrp,finalpdfs/5370-5113.pdf,['AUTH_00046'],Sud من هذه الدراسه. هو توضيح مدا العلاقه التي كانت سائده بين سلطنه وداي والسلطنه العثمانيه. وكذلك للتعرف علا مدا العلاقه السياسيه والثقافيه التي كانت Lud بيهما. والاشكاليه في هذا الموضوع. تكمن في انه من المواضيع الشائكه lly يحتاج في دراسته وتمحيص لتوضيح ما كان سائدا بين السلطنتين. ولعلاج ذلك يحتاج الا العديد من المصادر سلطنه داروداي - السلطنه العثمانيه - التاريخ - العلاقات السياسيه,Sud دراسه. وضيح مد علاقه انت سائد سلط دا سلطنه العثمانيه. تعرف مد علاقه سياسيه ثقافيه انت Lud يهما. اشكاليه موضوع. نه مواضيع شائكه lly حتاج دراس محيص وضيح سائد السلطنتين. علاج حتاج عديد مصادر سلط دارود - سلطنه عثمانيه - تاريخ - علاق سياسيه
1545,ARPD,finalpdfs/290.pdf,"['AUTH_00114', 'AUTH_00148']","ه wel; وهذه القيم تشكل الطابع الخاص el وفي نهايه المطاف. الجواب ان الثقه تكمن في الطابع الخاص بك. وبعد الاطلاع علا الادب النظري والدراسات الاجنبيه السابقه القليله ذات العلاقه بالموضوع. والاطلاع علا الادب النظري المتعلق بالقياده بشكل Gye ale تحديد ابعاد الحمض النووي للقياده في اربعه محاورء هي: التهيئه والجاهزيه. Sails والنهج. والتواصل. وفيما يلي استعراض هذه المحاور: 1- التهيئه والجاهزيه: عرف وارنر (Warner) التهيئه والجاهزيه بانهما حاله او مجموعه من الخصائص التي تعد داله علا قدره الفرد علا ان يكتسب بالتدريب نوعا خاصا من المعرفه, او مجموعه خاصه من الاستجابات. كما عرفهما ويتج (Watge) بانهما مدا تقبل فرد معين لوسيله اكتسابيه ines ويتمثل في ميله الوراثي للاستجابات لمثيرات معينه. وقد عرفتا ايضا بانهما وصول الفرد الا مستوا مناسب من النضج يمكن من خلاله تحصيل المعرفه او المهاره نتيجه عوامل التعلم المؤثره (الخياط. 1994). اما تايلر (1983) فعرفتهما بانهما مجموعه من الخصائص والقدرات التي توجد لدا الفردء التي تعود الا الخبره او التعلم. وكون الاستعداد موجودا لدا كل فرد, فانه من الممكن اخضاعه لعمليه ا نموذج الحمض النووي للقياده BLN مديرو المدارس","wel; قيم شكل طابع خاص el هاي مطاف. جواب ان ثقه طابع خاص ك. اطلاع ادب نظر دراس اجنبيه سابقه قليله علاقه موضوع. اطلاع ادب نظر متعلق قياده شكل Gye ale حديد بعاد حمض نوو قياده ربع محاورء هي: تهيئه جاهزيه. Sails نهج. تواصل. استعراض محاور: 1- تهيئه جاهزيه: عرف ارنر (Warner) تهيئه جاهزيه ان حال او مجموع خصائص عد دال قدر فرد ان كتسب تدريب وعا خاص معرفه, او مجموع خاص الاستجابات. عرف تج (Watge) ان مد رد وسيل كتساب ines تمثل ميل وراث استجاب مثير معينه. عرفت يض ان صول فرد مستو مناسب نضج مك حصيل معرفه او مهاره تيج عوامل تعلم مؤثره (الخياط. 1994). تايلر (1983) عرف ان مجموع خصائص قدر وجد دا فردء عود خبره او تعلم. ون استعداد موجود دا رد, نه ممكن خضاع عمل ا نموذج حمض نوو قياده BLN مدير مدارس"
319,ARPD,finalpdfs/201.pdf,['AUTH_00129'],"هدفت الدراسه الحاليه الا تقصي اداء المؤشر الاحصائي ,1 كطريقه للكشف Ge الاستجابات غير الجديه في المقاييس غير المعرفيه باختلاف عدد فئات التدريج لفقرات ليكرت (ثلاثي. رباعي. خماسيء سباعي). ولتحقيق هدف الدراسه, تم استخدام مقياس التحيزات المعرفيه المكون من (42) فقره بعد اعداد اربع صور للمقياس, تمثل كل منها احدا فئات التدريج الاربع. وتم تطبيق هذه الصور الاربع علا عينه الدراسه الكليه المؤلفه من (1495) طالبا وطالبه من طلبه البكالوريوس في جامعه اليرموك. المسجلين للفصل الدراسي الثاني من العام الدراسي luals 2019/2018 المؤشر الاحصائي ,1 لكل مستجيبء تم استخدام نموذج الاستجابه المتدرجه كاحد نماذج نظريه الاستجابه للفقره. وتبين من نتائج الدراسه الحاليه ان توزيع المؤشر LP بغض النظر عن عدد فتئات تدريج الفقره ملتو نحو اليسار ولا يتوزع توزيعا طبيعيا. كما Gl Gat خصائص التوزيع للمؤشر الاحصائي لا تختلف باختلاف عدد GL التدريج للفقره. في حين Gi نسب الكشف عن الاستجابات غير الجديه المكتشفه وفق المؤشر PP تختلف باختلاف عدد فئات تدريج الفقره. وكانت اعلا نسبه استجابات غير جديه كشفها المؤشر هي )19.7 ( عند استخدام تدريج ليكرت الرباعي. في حين ان اقل نسه استجابات غير جديه هي )10.7 ( عند استخدام تدريج ليكرت الثلاثي. (ال الاستجابات غير الجديه. عدد فئات تدريج المقياس","هدف دراسه حاليه قص داء مؤشر احصائ ,1 طريق كشف Ge استجاب جديه مقاييس معرفيه اختلاف عدد ئا تدريج فقر يكر (ثلاثي. رباعي. خماسيء سباعي). حقيق هدف دراسه, تم استخدام مقياس تحيز معرفيه مك (42) قر عداد ربع صور مقياس, حد ئا تدريج اربع. تم طبيق صور اربع دراسه كليه مؤلفه (1495) طالب طالب طلب البكالوريوس جامع يرموك. مسجل فصل دراس ثان عام دراس luals 2019/2018 مؤشر احصائ ,1 مستجيبء تم استخدام نموذج استجابه متدرجه احد نماذج ظري استجابه فقره. تائج دراسه حاليه ان وزيع مؤشر LP غض نظر عدد ئات دريج فقره ملت يسار توزع وزيع طبيعيا. Gl Gat خصائص توزيع مؤشر احصائ ختلف اختلاف عدد GL تدريج فقره. Gi سب كشف استجاب جديه مكتشفه فق مؤشر PP ختلف اختلاف عدد ئا دريج فقره. انت سب استجاب جد شف مؤشر )19.7 ( استخدام دريج يكر رباعي. ان قل سه استجاب جد )10.7 ( استخدام دريج يكر ثلاثي. (ال استجاب جديه. عدد ئا دريج مقياس"
1001,ARPD,finalpdfs/64.pdf,"['AUTH_00173', 'AUTH_00188']","هدفت الدراسه الا التعرف علا بعض متطلبات تحول جامعه الازهر نحو الجامعه الذكيه, ودرجه اهميه تلك المتطلبات من وجهه نظر اعضاء هيئه التدريس بالجامعه سواء كانت متطلبات تتعلق بالبنيه التحتيه او بالكودار البشريه او الاداره الذكيه. واعتمدت الدراسه علا عينه متفاوته . وذلك من مختلف كليات الجامعه. واستعانت الدراسه بالمنهج الوصفي التحليلي في التعرف علا واقع متطلبات التحول نحو الجامعه الذكيه من وجبه نظر اعضاء هيئه التدريس بجامعه الازهر. سعيا الا وضع رؤيه مستقبليه لتوفير متطلبات التحول نحو الجامعه الذكيه بجامعه الازهر. واعتمدت الدراسه علا اعداد استبيان تم تطبيقه الكترونيا عن طريق (Google Drive), لتحديد متطلبات التحول نحو الجامعه الذكيه. ومدا اهميتهاء اظبرت نتائج الدراسه ان بجامعه الازهرء وفي ضوء نتائج الدراسه ald الباحث بوضع رؤيه مستقبليه لتوفير متطلبات تحول جامعه الازهر نحو الجامعه الذكيه وتطبيقها كاحد النماذج التعليميه المعاصره. ال الجامعه الذكيه. جامعه الازهر. رؤيه مستقبليه","هدف دراسه تعرف متطلب جامع ازهر جامعه ذكيه, درج متطلب جه ظر اعضاء هيئ تدريس جامعه سواء انت متطلب تعلق بنيه تحتيه او كودار بشريه او اداره ذكيه. اعتمد دراسه متفاو . مختلف جامعه. استعان دراسه منهج وصف تحليل تعرف قع متطلب جامعه ذكيه جب ظر اعضاء هيئ تدريس جامع ازهر. سعي ضع رؤ مستقبل وفير متطلب جامعه ذكيه جامع ازهر. اعتمد دراسه عداد استبي تم طبيق كتروني طريق (Google Drive), حديد متطلب جامعه ذكيه. مد اهميتهاء اظبرت تائج دراسه ان جامع ازهرء ضوء تائج دراسه ald باحث وضع رؤ مستقبل وفير متطلب جامع ازهر جامعه ذكيه طبيق احد نماذج تعليميه معاصره. ال جامعه ذكيه. جامع ازهر. رؤ مستقبل"
1614,ARPD,finalpdfs/80.pdf,"['AUTH_00183', 'AUTH_00005', 'AUTH_00161', 'AUTH_00222']","هدفت الدراسه الحاليه الا معرفه مستوا التنافر المعرفيء وعلاقته بالمسؤوليه الاجتماعيه لدا طلبه الجامعه الهاشميه, تبعا لمتغيري النوع الاجتماعي والكليه. تكونت عينه الدراسه من (362) طالبا وطالبه تم اختيارهم بالطريقه العشوائيه الطبقيه. استجابوا لمقياسي التنافر المعرفي والمسؤوليه الاجتماعيه. اظهرت نتائج الدراسه ان مستوا التنافر المعرفيء ومستوا المسؤوليه الاجتماعيه لدا طلبه الجامعه الهاشميه كان متوسطاء وانه لا توجد فروق ذات دلاله احصائيه في مستوا التنافر المعرفي. ومستوا المسؤوليه الاجتماعيه تعزا الا متغيري النوع الاجتماعي والكليه. كما اظهرت النتائج وجود علاقه ارتباطيه سالبه ذات دلاله احصائيه عند مستوا (0.05 ) بين الدرجه الكليه للتنافر المعرفي. والدرجه الكليه للمسؤوليه الاجتماعيه. وفي ضوء النتائج تم التوصل الا بعض التوصيات. (ال التنافر المعرفي. المسؤوليه الاجتماعيه. طلبه الجامعه","هدف دراسه حاليه معرف مستو تنافر معرفيء علاق مسؤوليه الاجتماعيه دا طلب جامعه هاشميه, بع متغير نوع اجتماع كليه. كونت دراسه (362) طالب طالب تم ختيار طريقه عشوائيه طبقيه. ستجاب مقياس تنافر معرف مسؤوليه الاجتماعيه. اظهر تائج دراسه ان مستو تنافر معرفيء مستو مسؤوليه الاجتماعيه دا طلب جامعه هاشميه متوسطاء نه وجد روق دلال حصائ مستو تنافر معرفي. مستو مسؤوليه الاجتماعيه عز متغير نوع اجتماع كليه. اظهر نتائج جود علاق رتباط سالب دلال حصائ مستو (0.05 ) درجه كليه تنافر معرفي. درجه كليه مسؤوليه الاجتماعيه. ضوء نتائج تم توصل توصيات. (ال تنافر معرفي. مسؤوليه الاجتماعيه. طلب جامعه"
