title,title_en,authors,source,path
درجة اكتساب طلبة كلية التربية بجامعة السلطان قابوس لمهارات البحث الإجرائي وصعوبات تنفيذه من خلال إعدادهم لمشروع التخرج.,The Level of Acquisition of Action Research Skills and Difficulties in its preperarions Through Graduation Project Among College of Education Students at Sultan Qaboos University,"[""نور النجار""]",AJP,./AJP/AJP_1337_1.pdf
القيادة الاستباقية وعلاقتها بإدارة مخاطر البيئة المدرسية لدى مديري مدارس الرمثا.,Proactive Leadership and its Relationship to School Environment Risk Management among Ramtha School Principals,"[""لانا عبد المولى العنزي"", ""محمد عبود الحراحشة""]",AJP,./AJP/AJP_1338_2.pdf
درجة ممارسة معلمي اللغة العربية لمهارات التذوق الجمالي في أثناء تدريس النصوص الشعرية من وجهة نظرهم.,The Degree to Which Arabic Language Teachers Practice Aesthetic Appreciation Skills While Teaching Poetic Texts: A Perspective from the Teachers Themselves,"[""أمل مد الله الشعراء""]",AJP,./AJP/AJP_1339_3.pdf
تحليل محتوى منهاج الرياضيات للصف الثامن من مرحلة التعليم الأساسي في سورية في ضوء معايير التمثيل الرياضي.,Analysis of the content of the mathematics curriculum for the eighth grade of basic education in Syria in the light of mathematical representation standards,"[""ريتا سعيد""]",AJP,./AJP/AJP_1340_4.pdf
تصميم تعليمي وفق التعلم الخبراتي وأثره في التحصيل وكفاءه التعلم والذكاء الإبداعي في مادة الرياضيات عند طلبة المرحلة الاعدادية .,"Educational design based on experiential learning and its impact on achievement, learning efficiency, and creative intelligence in mathematics for middle school students","[""سلوى محسن العامري""]",AJP,./AJP/AJP_1341_5.pdf
مُستوى مَعرِفة معلِّمي الدراساتِ الاجتماعيّة للتعليم ما بعد الأساسي في سَلطنة عُمان بالأوبئة.,The level of knowledge of social studies teachers in post-basic education schools in the Sultanate of Oman about epidemics,"[""رحمة علي البدوي"", ""سيف ناصر المعمري""]",AJP,./AJP/AJP_1342_6.pdf
العولمة السیاسیة والسیاسة التعلیمیة,,"[""فيصل الراوي طايع""]",AJP,./AJP/AJP_1023_7.pdf
فاعلیة برنامج إرشادی فی تنمیة المسئولیة الاجتماعیة وتعزیز قیم المواطنة لدى طلاب الجامعة,,"[""أحمد علي طلب""]",AJP,./AJP/AJP_1024_8.pdf
فاعلیة برنامج إرشادی قائم على العلاج المتمرکز حول العمیل فی تحسین مفهوم الذات لدى الأحداث الجانحین بدار الملاحظة الاجتماعیة بجازان,,"[""أحمد بن موسى حنتول""]",AJP,./AJP/AJP_1025_9.pdf
دور جامعة الفیوم فى تحقیق متطلبات مجتمع المعرفة من وجهة نظر بعض الخبراء,,"[""ثنــاء هاشـم محمد""]",AJP,./AJP/AJP_1026_10.pdf
أثر التعلیم الإلکترونی على تنمیة المهارات التدریسیة لدى طلبة کلیة التربیة الأساسیة فی دولة الکویت,,"[""حامــد سعيـد الجبـر""]",AJP,./AJP/AJP_1027_11.pdf
درجة ممارسة سلوک المواطنة التنظیمیة لدى قائدات مدارس التعلیم العام الحکومیة فی مدینة الریاض,,"[""صالحـة حنــس خلـف""]",AJP,./AJP/AJP_1028_12.pdf
متطلبات تکنولوجیا المعلومات لتحقیق الرشاقة الاستراتیجیة بالجامعات المصریة.,,"[""عنتر محمد أحمد""]",AJP,./AJP/AJP_1029_13.pdf
فاعلیة استخدام التقویم التکوینی فی تحسین مستوى التحصیل الدراسی لمقرر مهارات التفکیر والبحث العلمی لدى طلاب کلیة إدارة الأعمال بجامعة شقراء,,"[""عيسـى بن فـرج العزيزي""]",AJP,./AJP/AJP_1030_14.pdf
برنامج تعلیمی مقترح قائم على التعلم المستند إلى الدماغ فی اکتساب المفاهیم العلمیة لمادة العلوم والقدرة على حل المشکلات لتلامیذ الصف السابع من التعلیم الأساسی,,"[""منى مصطفى كمال محمد""]",AJP,./AJP/AJP_1031_15.pdf
نموذج بنائی للقدرة على حل المشکلات فی ضوء بعض المکونات المعرفیة والدافعیة لدى طالبات الجامعة,,"[""هشام محمد الخولي""]",AJP,./AJP/AJP_1032_16.pdf
استراتیجیة مقترحة لتفعیل دور التعلم التنظیمی فی تحقیق المیزة التنافسیة لجامعة أسوان,,"[""حنـان البـدري كمـال""]",AJP,./AJP/AJP_1033_17.pdf
الفروق فی السلوک التوکیدی بین المعتمدین وغیر المعتمدین علی المواد النفسیة,,"[""هبه إبراهيم""]",AJP,./AJP/AJP_1034_18.pdf
فاعلیة برنامج اثرائی قائم على الأنشطة الریاضیة فی تنمیة مکونات الحس العددی لدى طلاب الصف الأول المتوسط,,"[""عبيد مزعل عبيد الحربي""]",AJP,./AJP/AJP_1035_19.pdf
توظیف بعض تطبیقات الجوال فی التدریب عن بعد لتنمیة مهارات استخدام مواقع البث المباشر فی التدریس لدى أعضاء هیئة التدریس,,"[""محمد محمود عبدالوهاب""]",AJP,./AJP/AJP_1036_20.pdf
