"title","title_en","authors","source","path"
"أخلاقيات الذكاء الاصطناعي: التعامل مع المعضلات الأخلاقية للذكاء الاصطناعي","The Ethics of AI: Navigating the Moral Dilemmas of Artificial Intelligence","[""Fayyad Muhammad Hani Bayan""]","AJSP","pdfs\The Ethics of AI Navigating the Moral Dilemmas of Artificial Intelligence Revised_1.pdf"
"دور التدريب على تكنولوجيا الإعلام الجديد في تعزيز احترافية الصحفيين الاستقصائيين العرب","The Role of Training on New Media Technology in Boosting Arab Investigative Journalists’ professionalism","[""Khalil Almabrouk1 & *Hamedi Adnan,2""]","AJSP","pdfs\The Role of Training on New Media Technology in Boosting Arab Investigative Journalists’ professionalism_2.pdf"
"""أثر التغيير التنظيمي على ضوء رؤية المملكة 2030 على جودة الحياة الوظيفية: دراسة ميدانية على موظفي فرع وزارة الموارد البشرية والتنمية الاجتماعية بمنطقة المدينة المنورة""","“The impact of organizational change in light of the Kingdom’s Vision 2030 on the quality of work life: a field study on employees of the branch of the Ministry of Human Resources and Social Development in the Medina region.”","[""عبد الله بن حميد بن محارب الجهني/د. علي عمر عبدالله جفري""]","AJSP","pdfs\أثر التغيير التنظيمي على ضوء رؤية المملكة 2030 على جودة الحياة الوظيفية_3.pdf"
"""العوامل التي تسهم في نشوب حرائق الغابات وآثارها -منطقة عسير انموذجاً""","“Factors that contribute to the outbreak of forest fires and their effects - the Asir region as an example”","[""علا على آل عسوج""]","AJSP","pdfs\العوامل التي تسهم في نشوب حرائق الغابات وآثارها -منطقة عسير انموذجاً_4.pdf"
"""المشكلات السلوكية لدى طلبة ذوي صعوبات التعلم المحددة في المدارس الاساسية داخل القدس من وجهة نظر المعلمين""","“Behavioral problems among students with specific learning difficulties in basic schools in Jerusalem from the point of view of teachers”","[""أ‌.\tنفيسة سعيدة""]","AJSP","pdfs\المشكلات السلوكية لدى طلبة ذوي صعوبات التعلم المحددة في المدارس الاساسية داخل القدس من وجهة نظر المعلمين_5.pdf"
"""أهميّة تعليم المجاز لمتعلمي العربية من غير الناطقين بها""","""The importance of teaching metaphor to non-native Arabic learners""","[""د. ديمة إبراهيم نوارة""]","AJSP","pdfs\أهميّة تعليم المجاز لمتعلمي العربية من غير الناطقين بها_6.pdf"
"""جريمة الإستغلال الإقتصادي للطفل في النظام السعودي""","“The crime of economic exploitation of children in the Saudi system”","[""منال حضيض الشاطري""]","AJSP","pdfs\جريمة الإستغلال الإقتصادي للطفل في النظام السعودي_7.pdf"
"""ظاهرة العنف ضد المسنين وإتجاهات المجتمع السعودي نحوها""","“The phenomenon of violence against the elderly and Saudi society’s attitudes towards it”","[""هاجر بنت فارس الشهري/أنفال بنت مسعود القحطاني/د. آمال فلمبان""]","AJSP","pdfs\ظاهرة العنف ضد المسنين وإتجاهات المجتمع السعودي نحوها_8.pdf"
"""أثر إستخدام إستراتيجية مقترحة قائمة على دورة التعلم السباعية (7E's) في إكتساب عمليات العلم الأساسية لدى طلاب الصف الثالث المتوسط في مقرر العلوم بمحافظة عفيف""","""The effect of using a proposed strategy based on the seven-year learning cycle (7E's) on the acquisition of basic science processes among third-year intermediate students in the science course in Afif Governorate.""","[""أمين بن مطيلق بن منير القثامي""]","AJSP","pdfs\أثر إستخدام إستراتيجية مقترحة.pdf"
"""مدى ملائمة مدارس دولة الكويت من حيث التصميم المعماري لتلبية إحتياجات ذوي الإعاقة""","“The suitability of schools in the State of Kuwait in terms of architectural design to meet the needs of people with disabilities”","[""د. يوسف محمود شاكر الشطي""]","AJSP","pdfs\مدى ملائمة مدارس دولة الكويت من حيث التصميم المعماري لتلبية إحتياجات ذوي الإعاقة_10.pdf"
"""الإنفاق الحكومي على القطاع الصحي وأثره على النمو الاقتصادي في المملكة العربية السعودية (2000-2020م)""","“Government spending on the health sector and its impact on economic growth in the Kingdom of Saudi Arabia (2000-2020 AD)”","[""هلا العتيبي""]","AJSP","pdfs\الإنفاق الحكومي على القطاع الصحي وأثره على النمو الاقتصادي في المملكة العربية السعودية _11.pdf"
"""دور إنتاج الطاقة المتجددة في تحقيق التنمية المستدامة دراسة تطبيقية على شركة الكهرباء السعودية""","“The role of renewable energy production in achieving sustainable development, an applied study on the Saudi Electricity Company”","[""صالح خلف العنزي/رهام مساعد الجارالله/عبد المجيد علي الفريدي""]","AJSP","pdfs\دور إنتاج الطاقة المتجددة في تحقيق التنمية المستدامة دراسة تطبيقية على شركة الكهرباء السعودية_12.pdf"
